#-----------------------------------------------------------
# xsim v2017.4 (64-bit)
# SW Build 2086221 on Fri Dec 15 20:55:39 MST 2017
# IP Build 2085800 on Fri Dec 15 22:25:07 MST 2017
# Start of session at: Thu Apr  4 15:40:52 2024
# Process ID: 11232
# Current directory: C:/Users/yasin/OneDrive/Masaüstü/BLG222/PROJE1/SUBMISSIONFINAL/Simulation_Files
# Command line: xsim.exe -mode tcl -source {xsim.dir/alusim/xsim_script.tcl}
# Log file: C:/Users/yasin/OneDrive/Masaüstü/BLG222/PROJE1/SUBMISSIONFINAL/Simulation_Files/xsim.log
# Journal file: C:/Users/yasin/OneDrive/Masaüstü/BLG222/PROJE1/SUBMISSIONFINAL/Simulation_Files\xsim.jou
#-----------------------------------------------------------
source xsim.dir/alusim/xsim_script.tcl
# xsim {alusim} -autoloadwcfg -runall
Vivado Simulator 2017.4
Time resolution is 1 ps
run -all
------------------------------------
ArithmeticLogicUnit Simulation Started
[PASS] Test No: 1, Component: ALUOut, Actual Value: 0x5555, Expected Value: 0x5555
[PASS] Test No: 1, Component: Z, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 1, Component: C, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 1, Component: N, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 1, Component: O, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 2, Component: ALUOut, Actual Value: 0x5555, Expected Value: 0x5555
[PASS] Test No: 2, Component: Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: C, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: O, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: ALUOut, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 3, Component: Z, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 3, Component: C, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 3, Component: N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: O, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: ALUOut, Actual Value: 0xb8cf, Expected Value: 0xb8cf
[PASS] Test No: 4, Component: Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: C, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 4, Component: N, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 4, Component: O, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: ALUOut, Actual Value: 0x28cc, Expected Value: 0x28cc
[PASS] Test No: 5, Component: Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: C, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 5, Component: N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: O, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 6, Component: ALUOut, Actual Value: 0x004a, Expected Value: 0x004a
[PASS] Test No: 6, Component: Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 6, Component: C, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 6, Component: N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 6, Component: O, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 7, Component: ALUOut, Actual Value: 0x006b, Expected Value: 0x006b
[PASS] Test No: 7, Component: Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 7, Component: C, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 7, Component: N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 7, Component: O, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 8, Component: ALUOut, Actual Value: 0x004a, Expected Value: 0x004a
[PASS] Test No: 8, Component: Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 8, Component: C, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 8, Component: N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 8, Component: O, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 9, Component: ALUOut, Actual Value: 0xff88, Expected Value: 0xff88
[PASS] Test No: 9, Component: Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 9, Component: C, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 9, Component: N, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 9, Component: O, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 10, Component: ALUOut, Actual Value: 0x0014, Expected Value: 0x0014
[PASS] Test No: 10, Component: Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 10, Component: C, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 10, Component: N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 10, Component: O, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 11, Component: ALUOut, Actual Value: 0xff88, Expected Value: 0xff88
[PASS] Test No: 11, Component: Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 11, Component: C, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 11, Component: N, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 11, Component: O, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 13, Component: ALUOut, Actual Value: 0xafc8, Expected Value: 0xafc8
[PASS] Test No: 13, Component: Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 13, Component: C, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 13, Component: N, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 13, Component: O, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 12, Component: ALUOut, Actual Value: 0x007e, Expected Value: 0x007e
[PASS] Test No: 12, Component: Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 12, Component: C, Actual Value: 0x0001, Expected Value: 0x0001
[PASS] Test No: 12, Component: N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 12, Component: O, Actual Value: 0x0001, Expected Value: 0x0001
ArithmeticLogicUnit Simulation Finished
------------------------------------
exit
INFO: [Common 17-206] Exiting xsim at Thu Apr  4 15:40:57 2024...
